slug,base.book,base.chapter,base.chapter_part,base.subchapter,base.subject,base.result_metric,base.recommendation,base.budget.description,base.budget.millions,base.budget.year_span,base.responsible_authority.main,base.responsible_authority.secondary
1,"דו""ח ועדת טרכטנברג",שירותים חברתיים  ,חינוך,גילאי 0-3,העברת הסמכות והאחריות על תחום החינוך לגיל הרך למשרד החינוך,לא הוגדרה על ידי הועדה,"העברת הסמכות והאחריות על תחום מעונות היום והמשפחתונים לגיל הרך ממשרד התמ""ת למשרד החינוך הוועדה סבורה כי על הממשלה לפעול להעברת האחריות והסמכות על תחום מעונות היום לשר
החינוך, זאת, בין היתר, מתוך ההכרה בחשיבות החינוך בגילאים אלה והרצון לייצר מדיניות פדגוגית
רציפה ושלמה החל משלבי התפתחותו המוקדמים של הילד.","יובהר, כי תכלית ההעברה היא ליצור רצף טיפולי ומדיניות חינוכית כאמור ואין בה כדי להגדיל
את היקף המשאבים המיועד לתחום זה, מעבר למוצע במסגרת ההמלצות. ",0,0,"שר החינוך ובשנת 2012 בתיאום עם שר התמ""ת","ועדה בראשות שר החינוך בשיתוף נציגים ממשרד התמ""ת והאוצר"
2,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,החלת תקינה ופיקוח על מעונות עם 7 ילדים ומעלה,תחילת יישום חוק הפיקוח החל מספטמבר 2012.,"אישור הצעת חוק הפיקוח, הנמצאת בהכנה לקריאה שנייה ושלישית בכנסת. קיצור תקופת היישום מ- 7 שנים ל- 5 שנים. ","סך הכל הקצאה על פי חומש 355 מיליון ש""ח",355,0,"שר החינוך ובשנת 2012 בתיאום עם שר התמ""ת",
3,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - תוכנית החומש," הוועדה ממליצה כי הגידול במספר המעונות בהתאם ליעד האמור יושג בשני תהליכים עיקריים:
האחד, בינוי מעונות יום במימון ציבורי; השני, תימרוץ מעונות פרטיים להיכנס למערך הפיקוח על המחירים/","תוכנית חומש להרחבת היצע המסגרות העומדות בפיקוח על המחיר ובהן אפשר יהיה לקבל סבסוד בהתאם למבחן הכנסה ותעסוקה - תוספת של 60,000 מקומות  חדשים (מעבר לתוספת של 10,000 המוערכת ממילא בגין גידול טבעי",עלות כוללת של 1.7 מליארד ₪ לטובת בינוי מעונות ותמרוץ מעונות פרטיים וכ- 1.8 מליארד ₪ לטובת סבסוד אוכלוסיית הילדים שתתווסף למעונות המפוקחים.,3500,0,"שר החינוך ובשנת 2012 בתיאום עם שר התמ""ת",
4,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - בינוי,בינוי מעונות יום חדשים לכ-30 אלף ילדים חדשים בתוך 5 שנים. ,בינוי מעונות יום חדשים מעבר לגידול הטבעי. ,"תוספת (מעבר לתקציב המיועד כבר כיום לנושא בתקציב המדינה) של מליארד ₪ לבינוי מעונות במהלך החומש הקרוב. 200 מליון ש""ח לשנה בממוצע, 235 מליון ש""ח בשנת 2012 ",1000,5,"שר החינוך ובשנת 2012 בתיאום עם שר התמ""ת",
5,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - מימון תקינה,"כניסה של כ-30,000 מקומות במעונות היום הפרטיים למערך פיקוח מחירים.","סיוע במימון של התאמות לתקינה, שתידרש לפי חוק הפיקוח, למעונות שיתחייבו לקבל על עצמם את צו הפיקוח על המחיר למשך 5 שנים - תמרוץ כניסת 30,000 מקומות במעונות פרטיים למערך המפוקח בסטנדט ובמחיר.","תוספת של 700 מליון ש""ח על פני 5 שנים (מתוכם 300 מליון ש""ח בשנה הראשונה) שתיועד אך ורק למעונות חדשים שנכנסים למערך המפוקח במחיר ולא להתאמת מעונות קיימים.",700,5,השר הממונה על מעונות היום,משרד האוצר
6,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,"תגבור מערכי ההדרכה, הפיקוח והאכיפה ","פיקוח אפקטיבי על כלל המסגרות
החינוכית","על מנת להבטיח את איכות הטיפול הניתן לילדים במסגרות אלו, ומתוך הכרה בחשיבות של איכות
הטיפול, יש להגביר ולשפר את מערך הפיקוח וההדרכה הקיימים, בהתאם לתוכנית מפורטת שתגובש בין המשרדים ולמתווה העמידה בהוראות חוק הפיקוח.","תוספת של 355 מלש""ח על פני החומש הקרוב (תוספת של 65 מלש""ח לבסיס תקציב 2012 ועלייה ל- 75 מלש""ח ב- 2014)",355,5,"שר החינוך ובשנת 2012 בתיאום עם שר התמ""ת",
7,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,סיוע למשפחות עובדות עם ילדים בגיל הרך,הגדלת ההכנסה הפנויה להורים עובדים לילדים קטנים בשיעור של עד כ- 420 שקלים לחודש.,מתן שתי נקודות זיכוי לגבר עד להגיעו לגיל 3,אובדן הכנסות מדינה בשיעור של כמליארד ₪ בשנה,1000,0,שר האוצר,
8,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,מעונות יום ומשפחתונים לילדים בגילאי 0-3,יישום תוכנית החומש והתאמות בהתאם לפערים בין התוכנית לביצוע בפועל,"מעקב, ליווי ובקרה אחר יישום תכנית החומש לגילאי 0-3 ועמידה ביעדי התוכנית","יישום כלל הצעדים המוצעים בתחום גילאי 0-3 מוערך בעלות של כ 1.7- מליארד על פני החומש
הקרוב לטובת בינוי מעונות ותימרוץ מעונות פרטיים לכניסה למערך הפיקוח על המחיר; ובעלות
של כ- 1.8 מליארדי שקלים לטובת סבסוד אוכלוסיית הילדים שתתווסף למעונות המצויים תחת
מנגנון הפיקוח על המחיר ולטובת שיפור מערך הפיקוח וההדרכה.",1700,5,"שר החינוך ושר התמ""ת",
9,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,חינוך גני ילדים 3-4,יישום חוק חינוך חובה חינם מגיל 3,"שיפור החינוך, הקלה על יוקר המחיה, עידוד תעסוקה.","יישום מלא של חוק חינוך חובה חינם מגיל 3. היישום המלא
ייעשה בהדרגה כך שהוראות החוק הנוגעות לחובת השתתפות בלימודים, יחולו באופן מלא משנת
הלימודים הקבועה בחוק - תשע""ה. כהוראת שעה ועד למימוש מלא של החוק, ממליצה הוועדה על
מימון מלא של הגנים הציבוריים החל מינואר 22012 , כך שגנים אלה יהיו ללא כל תשלום מבחינת ההורים.שלב א' יחול בינואר 2012 - סבסוד מלא של 220,000 הילדים שבמערך הגנים הציבוריים. שלב ב' עד שנת תשע""ה - בינוי 80,000 מקומות חדשים לשאר הילדים בשכבת הגיל וסבסוד מלא של עלות הגנים.","7.2 מליארד ₪ בחומש הקרוב (תוספת של 1.8 מליארד ₪ בבסיס התקציב, ו2.6 מליארד לטובת בינוי). מתוך הסכום - 1.3 מליארד כבר ב- 2012 לטובת בינוי ו- 900 מליון ש""ח לצורך סבסוד הילדים שבגנים הציבוריים.",7200,5,שר החינוך,
11,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 3-9,מסגרות צהריים לגילאי 3-9,"שיפור החינוך, הקלה על יוקר המחיה, עידוד תעסוקה",החלה אוניברסלית מדורגת של מסגרות לימודיות לשעות אחר הצהריים בימים א'-ה' בגנים ובבתי הספר הרשמיים בגילאי 3-9 ועד השעה 16:00.,"בהתאם מוצע כי המימון הממוצע על פני אשכולות 4-10 יתחלק באופן שווה בין המדינה 50% לרשויות המקומיות וההורים (יתרת המימון). שיעור ההשתתפות בפועל של המדינה יהיה דיפרנציאלי
על פני האשכולות כך שבאשכולות הנמוכים הוא יהיה גבוה יותר משמעותית וירד באופן הדרגתי עם
העליה ברמת האשכול. העקרונות לחלוקת יתרת המימון בין ההורים לבין הרשויות המקומיות יגובשו
. על ידי וועדת ההיגוי עד ליום 1.1.2012. הוועדה ממליצה על השלמת פריסת המסגרות. ליישום המלצה מוצע להקצות סכום של כ- 7 מיליארדי שקלים במהלך החומש הקרוב למימון
השתתפות המדינה במסגרות הלימודיות לשעות אחר הצהרים. העלות התוספתית המלאה בבסיס
תקציב המדינה לאחר השלמה מלאה של פריסת התוכנית במתכונת המוצעת על ידי הוועדה תעמוד
על כ- 2,350 מלש""ח לשנה. עוד מוצע, כי מתוך הסכום האמור יוקצו 300 מלש""ח בשנת 2012
ומליארד ₪ ב 2013- למימון הפעימה הראשונה של פרישת המסגרות כמפורט לעיל.",7000,5,שר החינוך,רשויות מקומיות
