1,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,העברת הסמכות והאחריות על תחום החינוך לגיל הרך למשרד החינוך,"העברת הסמכות והאחריות על תחום מעונות היום והמשפחתונים לגיל הרך ממשרד התמ""ת למשרד החינוך הוועדה סבורה כי על הממשלה לפעול להעברת האחריות והסמכות על תחום מעונות היום לשר
החינוך, זאת, בין היתר, מתוך ההכרה בחשיבות החינוך בגילאים אלה והרצון לייצר מדיניות פדגוגית
רציפה ושלמה החל משלבי התפתחותו המוקדמים של הילד."
2,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,החלת תקינה ופיקוח על מעונות עם 7 ילדים ומעלה,"אישור הצעת חוק הפיקוח, הנמצאת בהכנה לקריאה שנייה ושלישית בכנסת. קיצור תקופת היישום מ- 7 שנים ל- 5 שנים. "
3,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - תוכנית החומש,"תוכנית חומש להרחבת היצע המסגרות העומדות בפיקוח על המחיר ובהן אפשר יהיה לקבל סבסוד בהתאם למבחן הכנסה ותעסוקה - תוספת של 60,000 מקומות  חדשים (מעבר לתוספת של 10,000 המוערכת ממילא בגין גידול טבעי"
4,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - בינוי,בינוי מעונות יום חדשים מעבר לגידול הטבעי. 
5,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,הרחבת היצע מעונות היום המפוקחים ומסובסדים - מימון תקינה,"סיוע במימון של התאמות לתקינה, שתידרש לפי חוק הפיקוח, למעונות שיתחייבו לקבל על עצמם את צו הפיקוח על המחיר למשך 5 שנים - תמרוץ כניסת 30,000 מקומות במעונות פרטיים למערך המפוקח בסטנדט ובמחיר."
6,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,"תגבור מערכי ההדרכה, הפיקוח והאכיפה ","על מנת להבטיח את איכות הטיפול הניתן לילדים במסגרות אלו, ומתוך הכרה בחשיבות של איכות
הטיפול, יש להגביר ולשפר את מערך הפיקוח וההדרכה הקיימים, בהתאם לתוכנית מפורטת שתגובש בין המשרדים ולמתווה העמידה בהוראות חוק הפיקוח."
7,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,סיוע למשפחות עובדות עם ילדים בגיל הרך,מתן שתי נקודות זיכוי לגבר עד להגיעו לגיל 3
8,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,מעונות יום ומשפחתונים לילדים בגילאי 0-3,"מעקב, ליווי ובקרה אחר יישום תכנית החומש לגילאי 0-3 ועמידה ביעדי התוכנית"
9,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,חינוך גני ילדים 3-4,יישום חוק חינוך חובה חינם מגיל 3,"יישום מלא של חוק חינוך חובה חינם מגיל 3. היישום המלא
ייעשה בהדרגה כך שהוראות החוק הנוגעות לחובת השתתפות בלימודים, יחולו באופן מלא משנת
הלימודים הקבועה בחוק - תשע""ה. כהוראת שעה ועד למימוש מלא של החוק, ממליצה הוועדה על
מימון מלא של הגנים הציבוריים החל מינואר 22012 , כך שגנים אלה יהיו ללא כל תשלום מבחינת ההורים.שלב א' יחול בינואר 2012 - סבסוד מלא של 220,000 הילדים שבמערך הגנים הציבוריים. שלב ב' עד שנת תשע""ה - בינוי 80,000 מקומות חדשים לשאר הילדים בשכבת הגיל וסבסוד מלא של עלות הגנים."
11,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 3-9,מסגרות צהריים לגילאי 3-9,החלה אוניברסלית מדורגת של מסגרות לימודיות לשעות אחר הצהריים בימים א'-ה' בגנים ובבתי הספר הרשמיים בגילאי 3-9 ועד השעה 16:00.
